Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
1/1/2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Haiti,N/A,18000,300,Weight in kilograms
1/1/2013,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Honduras,N/A,3000,50,Weight in kilograms
1/1/2013,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,N/A,13200,165,Weight in kilograms
1/1/2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,"Korea, South",N/A,209016,3905,Weight in kilograms
1/1/2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Singapore,N/A,1321,26,Weight in kilograms
1/1/2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,204439,8152,Weight in kilograms
1/1/2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Germany,N/A,298225,4861,Weight in kilograms
1/1/2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Taiwan,N/A,1466549,24860,Weight in kilograms
1/1/2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Illinois,8227,426,Weight in kilograms
1/1/2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,296314,7608,Weight in kilograms
1/1/2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Washington,201160,3795,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Hong Kong,N/A,4064900,59741,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,N/A,6555894,111461,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,N/A,111259,1724,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,15916,102,Weight in kilograms
1/1/2020,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,N/A,4542889,89106,Weight in kilograms
1/1/2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Hong Kong,N/A,1590642,29372,Weight in kilograms
1/1/2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Germany,N/A,151879,2545,Weight in kilograms
1/1/2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Italy,N/A,17723,306,Weight in kilograms
1/1/2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,9814,712,Weight in kilograms
1/1/2013,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Thailand,N/A,19800,220,Weight in kilograms
1/1/2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,N/A,9300770,206092,Weight in kilograms
1/1/2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,France,N/A,28958,297,Weight in kilograms
1/1/2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,N/A,132808,2436,Weight in kilograms
1/1/2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Thailand,N/A,2909,48,Weight in kilograms
1/1/2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,California,5781,68,Weight in kilograms
1/1/2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,N/A,101416,1647,Weight in kilograms
1/1/2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,N/A,9589477,178781,Weight in kilograms
1/1/2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Malaysia,N/A,360,6,Weight in kilograms
1/1/2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Massachusetts,16621,848,Weight in kilograms
1/1/2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,"Korea, South",N/A,1014714,15217,Weight in kilograms
1/1/2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,China,N/A,804058,12613,Weight in kilograms
1/1/2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United Kingdom,N/A,139112,2274,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,China,N/A,1044850,16157,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Taiwan,N/A,1736931,30514,Weight in kilograms
1/1/2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Italy,N/A,21391,280,Weight in kilograms
