,Year,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure,Pounds
0,2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Haiti,,18000.0,300.0,Weight in kilograms,660.0
1,2013,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Honduras,,3000.0,50.0,Weight in kilograms,110.00000000000001
2,2013,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,,13200.0,165.0,Weight in kilograms,363.00000000000006
3,2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,"Korea, South",,209016.0,3905.0,Weight in kilograms,8591.0
4,2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Singapore,,1321.0,26.0,Weight in kilograms,57.2
5,2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,204439.0,8152.0,Weight in kilograms,17934.4
6,2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Germany,,298225.0,4861.0,Weight in kilograms,10694.2
7,2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Taiwan,,1466549.0,24860.0,Weight in kilograms,54692.00000000001
8,2016,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Illinois,8227.0,426.0,Weight in kilograms,937.2
9,2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,296314.0,7608.0,Weight in kilograms,16737.600000000002
10,2017,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Washington,201160.0,3795.0,Weight in kilograms,8349.0
11,2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Hong Kong,,4064900.0,59741.0,Weight in kilograms,131430.2
12,2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,,6555894.0,111461.0,Weight in kilograms,245214.2
13,2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,,111259.0,1724.0,Weight in kilograms,3792.8
14,2018,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,15916.0,102.0,Weight in kilograms,224.4
15,2020,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,,4542889.0,89106.0,Weight in kilograms,196033.2
16,2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Hong Kong,,1590642.0,29372.0,Weight in kilograms,64618.40000000001
17,2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Germany,,151879.0,2545.0,Weight in kilograms,5599.0
18,2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Italy,,17723.0,306.0,Weight in kilograms,673.2
19,2012,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,United States,Maine,9814.0,712.0,Weight in kilograms,1566.4
20,2013,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Thailand,,19800.0,220.0,Weight in kilograms,484.00000000000006
21,2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Japan,,9300770.0,206092.0,Weight in kilograms,453402.4
22,2014,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,France,,28958.0,297.0,Weight in kilograms,653.4000000000001
23,2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Macao,,132808.0,2436.0,Weight in kilograms,5359.200000000001
24,2015,"0308.21.10 - Sea urchin roes and milt, fresh or chilled",Canada,Thailand,,2909.0,48.0,Weight in kilograms,105.60000000000001
